allen,113.8011,22.80102,老凤祥(万科广场店),广东省东莞市长青南路1号万科广场1层,0769-26623583 ,,地址东城万达广场,Rachel,东莞市,tencent:19M11:50100004|12392726403167913436,老凤祥,328.45,
allen,113.8011,22.80833,老凤祥银楼,广东省东莞市长安镇长青南路253号天长地久楼下,,,无电话 无法查询,吴梦婷,东莞市,tencent:19M11:50100004|231499739729641457,老凤祥,6.36,
allen,113.801,22.80845,老凤祥银楼,长安镇长青南路253号天长地久楼下,,,,,东莞市,amap:19M11:50100004|B0FFIMU6CJ,老凤祥,2376.98,
allen,113.8224,22.8089,老凤祥(万达广场),长安镇东门中路1号万达广场1F层,,,,,东莞市,amap:19M11:50100004|B0FFJCN4HF,老凤祥,11.63,
allen,113.8225,22.80893,老凤祥(万达广场),广东省东莞市长安镇东门中路1号万达广场(长安店)F1,,,地址已改店,吴梦婷,东莞市,tencent:19M11:50100004|11418913890375533705,老凤祥,562.9,
allen,113.8176,22.81208,老凤祥(万达店),东门中路万达广场1号门1058号,0769--81606826,Y,,吴梦婷,东莞市,dianping:19M11:50100004|111038530,老凤祥,14900.78,0769--81606826
allen,113.684,22.83356,老凤祥(万达广场),连升北路388号万达广场1F层1009,,,,,东莞市,amap:19M11:50100004|B0FFHMLK41,老凤祥,3.57,
allen,113.6841,22.83356,老凤祥银楼(万达广场店),广东省东莞市虎门镇连升北路388号虎门万达广场F1,,N,无法查询,吴梦婷,东莞市,tencent:19M11:50100004|2640548949612459374,老凤祥,656.46,
allen,113.6783,22.83698,老凤祥(虎门万达店),连升北路388号万达广场1楼1号门直入,0769--88022671,Y,,吴梦婷,东莞市,dianping:19M11:50100004|76755390,老凤祥,1935.08,0769--88022671
allen,113.6682,22.87215,老凤祥东莞珠宝首饰有限公司,广东省东莞市白濠深溪路16号,,N,无法查询,吴梦婷,东莞市,tencent:19M11:50100004|10878156127283549098,老凤祥,596.65,
allen,113.6629,22.87501,老凤祥东莞珠宝首饰有限公司,白濠深溪路16,,,,吴梦婷,东莞市,dianping:19M11:50100004|122261576,老凤祥,4619.98,
allen,113.7016,22.9127,老凤祥(东莞)珠宝镶嵌首饰有限公司,厚街镇科技大道1号金诺产业园3A栋,,,,,东莞市,amap:19M11:50100004|B0FFIC5ZGV,老凤祥,57.94,0769-82582683
allen,113.7014,22.91387,老凤祥(东莞)珠宝镶嵌首饰有限公司,广东省东莞市厚街镇科技大道1号金诺产业园3A栋,,N,无法查询,吴梦婷,东莞市,tencent:19M11:50100004|1715503111000775360,老凤祥,4122.71,
allen,113.665,22.93118,东莞厚街专卖店,广东省东莞市厚街镇珊美社区康乐南路3号,13682431251,N,电话人不清楚店，查不到,吴梦婷,东莞市,office:19M11:50100004|690,老凤祥,89.93,
allen,113.6642,22.93128,老凤祥银楼(汉邦66广场店),广东省东莞市兴隆路66号汉邦66广场1层,,,无电话,吴梦婷,东莞市,tencent:19M11:50100004|6983718337711900729,老凤祥,7.26,
allen,113.6642,22.93137,厚街专卖二店,广东省东莞市厚街镇康乐南路88号,13682431251,N,电话人不清楚店，查不到,吴梦婷,东莞市,office:19M11:50100004|691,老凤祥,388.36,
allen,113.6674,22.93506,老凤祥银楼(康乐南路店),康乐南路3号,,,,,东莞市,amap:19M11:50100004|B0FFHS866R,老凤祥,4.7,0769-81211337
allen,113.6674,22.9351,老凤祥银楼(康乐南路店),广东省东莞市康乐南路,,,,,东莞市,tencent:19M11:50100004|16564211613160052340,老凤祥,1019.58,
allen,113.6583,22.93592,老凤祥(汉邦66广场店),兴隆路66号汉邦66广场1层,,,,,东莞市,dianping:19M11:50100004|111552174,老凤祥,20453.86,
allen,113.8415,22.90317,老凤祥银楼,大岭山镇凯东中央街J115-116号,,,,,东莞市,amap:19M11:50100004|B0FFHFBMQW,老凤祥,6.13,
