source_id,source_type,name,address,序号,1000,source_name,重复序号,phone,province,city,district,code,brand_name,lng,lat,负责人,
B0FFFZMTQX,购物服务;家电电子卖场;数码电子,步步高教育电子,宁城横街一号海滨二小对面,1,72082.7,amap,0,18042120876,浙江省,温州市,泰顺县,330329,vivo,119.717529,27.556282,梁哲豪,
81679322,家用电器,VIVO,矾山镇新华街119号,2,0.2,dianping,3|4,,浙江省,温州市,苍南县,330327,vivo,120.4057929,27.34124082,梁哲豪,
B0FFHFU2WU,购物服务;家电电子卖场;手机销售,VIVO(新华街店),矾山镇新华街119号,3,0,amap,,,浙江省,温州市,苍南县,330327,vivo,120.405793,27.341243,梁哲豪,rep
2.86613E+18,{40103},VIVO(新华街店),矾山镇新华街119号,4,16228.9,wayz,,,浙江省,温州市,苍南县,330327,vivo,120.405793,27.341243,梁哲豪,rep
110773745,数码产品,vivo,松山街96号,5,219.3,dianping,6,,浙江省,温州市,苍南县,330327,vivo,120.3072549,27.45786299,梁哲豪,
2.86613E+18,{40103},VIVO,松山街96号,6,108.9,wayz,,,浙江省,温州市,苍南县,330327,vivo,120.309471,27.457985,梁哲豪,rep
79150661,数码产品,vivo永财手机专卖店,松桥街88号,7,14.6,dianping,8,13757885880,浙江省,温州市,苍南县,330327,vivo,120.3087117,27.45869387,梁哲豪,
B0FFJDFCRN,购物服务;购物相关场所;购物相关场所,vivo永财手机专卖店,桥墩镇松桥街88号,8,26276.8,amap,,13757885880,浙江省,温州市,苍南县,330327,vivo,120.308702,27.458825,梁哲豪,rep
2.86613E+18,{40103},VIVO(百花街),钱库镇百花街119号,9,0,wayz,10|11,,浙江省,温州市,苍南县,330327,vivo,120.573446,27.482145,梁哲豪,
B0FFHDOG7R,购物服务;家电电子卖场;手机销售,VIVO(百花街),钱库镇百花街119号,10,0.7,amap,,0577-68208881;18815029107,浙江省,温州市,苍南县,330327,vivo,120.573446,27.482145,梁哲豪,rep
102820322,数码产品,VIVO体验店,钱库镇百花街119号,11,18.5,dianping,,0577-68208881,浙江省,温州市,苍南县,330327,vivo,120.5734529,27.48214729,梁哲豪,rep
