0,1,2,3,4
NAME,INDEX(series),FORMULA (sample),SENSITIVITY,Reference
Improved SAVI with self-adjustment factor L,MSAVI,$\frac {1}{2} \cdot [2 \cdot R_{800} + 1 – \sqrt{(2 \cdot R_{800} + 1)^2 – 8 \cdot (R_{800} – R_{670}}$,Canopy structure,Qi et al. (1994)
Modified Triangular Vegetation Index,"MTVI1,MTVI2",$\cdot [1.2 \cdot (R_{800} – R_{550}) – 2.5 \cdot (R_{670} – R_{550})]$,Canopy structure,Haboudane et al. (2004)
Normalized Difference Vegetation Index,"gNDVI,hNDVI, etc",$\frac{NIR – RED}{NIR + RED}$,Canopy structure,Rouse et al. (1974)
Optimized Soil Adjusted Vegetation Index,OSAVI,$\frac{(1 + 0.16) \cdot (R_{800} – R_{670})}{R_{800} + R_{670} + 0.16}$,Canopy structure,Rondeaux et al. (1996)
Renormalized Difference Vegetation Index,RDVI,$\frac{R_{800}-R_{670}} {\sqrt{R_{800}+R_{670}}}$,Canopy structure,Rougean and Breon (1995)
Simple Ratio Index,"SR,SR705",$\frac{NIR}{RED}$,Canopy structure,Jordan (1969); Rouse et al. (1979)
Soil Adjusted Vegetation Index,"SAVI,SAVI2",$\cdot \frac{R_{800}-R_{670}}{R_{800} + R_{670} + L} [Lin(0.1)]$,Canopy structure,Huete (1988)
Spectral Polygon Vegetation Index,SPVI,$\cdot [3.7 \cdot (R_{800}- R_{670}) – 1.2(R_{530} – R_{670})]$,Canopy structure,Vincini et al. (2006)
Thematic Mapper NDVI,tmNDVI,$\frac{\frac{1}{i_{900nm}}\sum_{i=760nm}^{900nm}R_{i}-\frac{1}{i_{690nm}}\sum_{i=630nm}^{690nm}R_{i}}{\frac{1}{i_{}900nm}\sum_{i=760nm}^{900nm} R_{i}+\frac{1}{i_{690nm}}\sum_{i=630nm}^{690nm} R_{i}}$,Canopy structure,Rouse et al. (1974)
Transformed Soil Adjusted Vegetation Index,TSAVI,$\cdot \frac{(R_{800} – aR_{670} – b)}{(R_{670} + aR_{850} – ab)}$,Canopy structure,Baret et al. (1989)
Anthocyanin Reflectance Index,ARI,$\frac{1}{R_{550}}-\frac{1}{R_{700}}$,Carotenoid content,Gitelson et al. (2002)
Pigment Specific Simple Ratio for Carotenoids,PSSRc,$\frac{R_{800}}{R_{500}}$,Carotenoid content,Blackburn (1998)
Structural Independent Pigment Index,SIPI,$\frac{R_{445} – R_{800}}{R_{670} – R_{800}}$,Carotenoid content,Penuelas and Filella (1998)
Carter Stress Index ,"CSI1,CSI2",$\frac{R_{695}}{R_{420}}$,Chlorophyll,Carter (1994)
Chlorophyll Absorption Integral,"CAI,CRI,CRI2",$\frac{\left\{ \intop_{550mm}^{760mm} R_{550}+[ i \cdot \frac{R_{760}-R_{550}}{i_{760}} ] \right\}-\intop_{550mm}^{760mm} R_{i}}{\intop_{550mm}^{760mm} R_{550}+[ i \cdot \frac{R_{760}-R_{550}}{i_{760}} ]}$,Chlorophyll,Oppelt and Mauser (2003)
